,input,acp,output
0,"Employees ranked as professors or tenured assistant professors can select from, insert into, and delete from graduate admission related tables in the database.",1,{decision: allow; subject: professors; action: select; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: professors; action: insert; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: professors; action: delete; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: tenured assistant professors; action: select; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: tenured assistant professors; action: insert; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: tenured assistant professors; action: delete; resource: graduate admission related tables; purpose: none; condition: none}
1,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and date of birth to help confirm identity.",1,{decision: allow; subject: customer service reps; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service reps; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: customer service reps; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service reps; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: use; resource: date of birth; purpose: help confirm identity; condition: none}
2,Customer service reps can use credit card number for the purpose of updating records if requested by a patient.,1,{decision: allow; subject: customer service reps; action: use; resource: credit card number; purpose: updating records; condition: requested by a patient}
3,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and e-mail addresses.",1,{decision: allow; subject: pharmacists; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacists; action: collect; resource: e-mail addresses; purpose: none; condition: none | decision: allow; subject: pharmacists; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: pharmacists; action: use; resource: e-mail addresses; purpose: none; condition: none | decision: allow; subject: billing reps; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing reps; action: collect; resource: e-mail addresses; purpose: none; condition: none | decision: allow; subject: billing reps; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: billing reps; action: use; resource: e-mail addresses; purpose: none; condition: none | decision: allow; subject: customer service reps; action: collect; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service reps; action: collect; resource: e-mail addresses; purpose: none; condition: none | decision: allow; subject: customer service reps; action: use; resource: customer name; purpose: none; condition: none | decision: allow; subject: customer service reps; action: use; resource: e-mail addresses; purpose: none; condition: none}
4,Shipping Reps can use customer name and customer mailing addresses to ship orders.,1,{decision: allow; subject: shipping reps; action: use; resource: customer mailing addresses; purpose: ship orders; condition: none | decision: allow; subject: shipping reps; action: use; resource: customer name; purpose: ship orders; condition: none}
5,Billing Reps can use credit card numbers for order processing.,1,{decision: allow; subject: billing reps; action: use; resource: credit card numbers; purpose: order processing; condition: none}
6,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.",1,{decision: allow; subject: customer service reps; action: modify; resource: credit card numbers; purpose: order processing; condition: customer is notified by email of the change}
7,"Customer service reps, ducks or Lawyers can use credit card number for the purpose of making treatment decisions if customer has opted-in.",1,{decision: allow; subject: customer service reps; action: use; resource: credit card numbers; purpose: making treatment decisions; condition: customer has opted-in | decision: allow; subject: ducks; action: use; resource: credit card numbers; purpose: making treatment decisions; condition: customer has opted-in | decision: allow; subject: lawyers; action: use; resource: credit card numbers; purpose: making treatment decisions; condition: customer has opted-in}
8,Admission nurses use SSN for reviewing eligibility if requested by a patient who is returning.,1,{decision: allow; subject: admission nurses; action: use; resource: ssn; purpose: reviewing eligibility; condition: requested by a patient who is returning}
9,Customer service reps and managers may collect and use name and social security number for the purpose of confirming identity.,1,{decision: allow; subject: customer service reps; action: collect; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: customer service reps; action: collect; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: customer service reps; action: use; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: customer service reps; action: use; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: managers; action: collect; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: managers; action: collect; resource: social security number; purpose: confirming identity; condition: none | decision: allow; subject: managers; action: use; resource: name; purpose: confirming identity; condition: none | decision: allow; subject: managers; action: use; resource: social security number; purpose: confirming identity; condition: none}
10,The organisation may use email addresses to answer inquiries.,1,{decision: allow; subject: organisation; action: use; resource: email addresses; purpose: answer inquiries; condition: none}
11,Supervisors can collect personal information if required by law.,1,{decision: allow; subject: supervisors; action: collect; resource: personal information; purpose: none; condition: none}
12,Financial consultants can collect and use customer name for the purpose of confirming identity.,1,{decision: allow; subject: financial consultants; action: collect; resource: customer name; purpose: confirming identity; condition: none | decision: allow; subject: financial consultants; action: use; resource: customer name; purpose: confirming identity; condition: none}
13,Financial analysts can use customer accounts to make loan decisions.,1,{decision: allow; subject: financial analysts; action: use; resource: customer accounts; purpose: make loan decisions; condition: none}
