,input,acp,output
0,Access to emergency details is available for all staff.,1,{decision: allow; subject: staff; action: access; resource: emergency details; purpose: none; condition: none}
1,"For example, a user should not record and verify the same invoice.",1,{decision: deny; subject: user; action: record; resource: same invoice; purpose: none; condition: none | decision: deny; subject: user; action: verify; resource: same invoice; purpose: none; condition: none}
2,No combination of roles exists such that a user with those roles can both Receive and Assign the resource ExternalGrades.,1,{decision: deny; subject: user; action: receive; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: user; action: assign; resource: externalgrades; purpose: none; condition: none}
3,"The PC chair can assign a paper to a PC member for reviewing, except if he is one of its authors.",1,{decision: deny; subject: pc chair; action: assign; resource: paper; purpose: reviewing; condition: he is one of its authors}
4,The organisation may use email addresses to answer inquiries.,1,{decision: allow; subject: organisation; action: use; resource: email addresses; purpose: answer inquiries; condition: none}
5,"Only one user, here is the Pharmacy System, can load medicines to the medicine dispenser.",1,{decision: allow; subject: user; action: load; resource: medicines; purpose: none; condition: none}
6,"All users can write to a higher classification (A ""secret"" user can post information to a Top Secret resource).",1,{decision: allow; subject: users; action: write; resource: higher classified document; purpose: none; condition: none}
7,"A bonus package with a fixed number of options, such as a-day-off, is available for employees.",0,{decision: allow; subject: none; action: none; resource: bonus package; condition: none; purpose: none}
8,"For example, according to Figure 2, supervisor role inherits purchasing officer’s permissions and purchasing officer inherits clerk’s permissions.",0,"{decision: allow; subject: supervisor role; action: inherit; resource: ""purchasing officers permissions""; condition: none; purpose: none | decision: allow; subject: purchasing officer; action: inherit; resource: ""clerks permissions""; condition: none; purpose: none}"
9,"Owners can access their account, move funds, and review transactions.",1,{decision: allow; subject: owners; action: access; resource: account; condition: none; purpose: none | decision: allow; subject: owners; action: move; resource: funds; condition: none; purpose: none | decision: allow; subject: owners; action: review; resource: transactions; condition: none; purpose: none}
10,"For example, write a check use case should be invoked by (authorized to) clerk role.",1,{decision: allow; subject: clerk; action: invoke; resource: write a check use case; purpose: none; condition: none}
11,Repetitive authorization failures to access the same resource or object generates an alarm possibly and possibly restricts the user's access,0,"{decision: allow; subject: reprobates; action: restrict; resource: ""users access""; condition: possibly; purpose: none | decision: allow; subject: reprobates; action: access; resource: same resource or object; condition: none; purpose: none}"
12,The director can promote an employee to be a  manager.,1,{decision: allow; subject: director; action: promote; resource: employee; purpose: be a manager; condition: none}
13,Financial consultants can collect and use customer name for the purpose of confirming identity.,1,{decision: allow; subject: financial consultants; action: collect; resource: customer name; purpose: confirming identity; condition: none | decision: allow; subject: financial consultants; action: use; resource: customer name; purpose: confirming identity; condition: none}
14,The director chooses options from the package to give to all employees.,1,{decision: allow; subject: director; action: choose; resource: options; purpose: give to all employees; condition: none}
15,"Every professor, except assistant professors, can review a project.",1,{decision: allow; subject: every professor; action: review; resource: project; purpose: none; condition: none | decision: deny; subject: assistant professors; action: review; resource: project; purpose: none; condition: none}
16,Clerk can read from database.,1,{decision: allow; subject: clerk; action: read; resource: databases; purpose: none; condition: none}
17,All members of STUDENT can RECEIVE EXTERNALGRADES.,1,{decision: allow; subject: members of student; action: receive; resource: externalgrades; purpose: none; condition: none}
18,"Doctors also can add private notes about a resident, which, on the basis of doctor-patient confidentiality, are not visible to health care staff or the manager.",1,{decision: allow; subject: doctors; action: add; resource: private notes about a resident; purpose: none; condition: none | decision: deny; subject: health care staff; action: view; resource: private notes about a resident; purpose: none; condition: none | decision: deny; subject: manager; action: view; resource: private notes about a resident; purpose: none; condition: none}
19,"Managers can read and set ordinary employees’ bonuses, but not those of other managers or the director.",1,{decision: allow; subject: managers; action: read; resource: ordinary employees’ bonuses; purpose: none; condition: none | decision: allow; subject: managers; action: set; resource: ordinary employees’ bonuses; purpose: none; condition: none | decision: deny; subject: managers; action: read; resource: other managers’ bonuses; purpose: none; condition: none | decision: deny; subject: managers; action: set; resource: other managers’ bonuses; purpose: none; condition: none | decision: deny; subject: managers; action: read; resource: director’s bonuses; purpose: none; condition: none | decision: deny; subject: managers; action: set; resource: director’s bonuses; purpose: none; condition: none}
20,The doctor then has temporary access to the resident’s medical records (but not to the private notes of the resident’s usual doctor).,1,{decision: allow; subject: doctor; action: temporary access; resource: resident’s medical records; purpose: none; condition: none | decision: deny; subject: doctor; action: temporary access; resource: private notes of the resident’s usual doctor; purpose: none; condition: none}
21,Shipping Reps can use customer name and customer mailing addresses to ship orders.,1,{decision: allow; subject: shipping reps; action: use; resource: customer mailing addresses; purpose: ship orders; condition: none | decision: allow; subject: shipping reps; action: use; resource: customer name; purpose: ship orders; condition: none}
22,Subreviewers are known to all PC members who are not authors of the respective papers.,1,{decision: allow; subject: pc members; action: know; resource: subreviewers; purpose: none; condition: none}
23,Pharmacy System should not read patient records even if it can read patient medicine orders.,1,{decision: deny; subject: pharmacy system; action: read; resource: patient records; purpose: none; condition: none | decision: allow; subject: pharmacy system; action: read; resource: patient medicine orders; purpose: none; condition: none}
24,There exists no combination of roles such that a user with those roles can both RECEIVE and ASSIGN the resource EXTERNALGRADES.,1,{decision: deny; subject: user; action: receive; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: user; action: assign; resource: externalgrades; purpose: none; condition: none}
25,"Customer Service Reps can modify credit card numbers for order processing, if the customer is notified by email of the change.",1,{decision: allow; subject: customer service reps; action: modify; resource: credit card numbers; purpose: order processing; condition: customer is notified by email of the change}
26,"So, for example, the manager should be made aware of repeated attempts by a health care worker to access information beyond their rights.",1,{decision: allow; subject: manager; action: aware; resource: repeated attempts by a health care worker; purpose: none; condition: none}
27,"Customer Service Reps, Pharmacists, and Billing Reps can collect and use customer name and date of birth to help confirm identity.",1,{decision: allow; subject: customer service reps; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service reps; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: customer service reps; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: customer service reps; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: pharmacists; action: use; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: collect; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: collect; resource: date of birth; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: use; resource: customer name; purpose: help confirm identity; condition: none | decision: allow; subject: billing reps; action: use; resource: date of birth; purpose: help confirm identity; condition: none}
28,There do not exist members of Student who can Assign ExternalGrades.,1,{decision: deny; subject: student; action: assign; resource: externalgrades; purpose: none; condition: none}
29,He or she also can read the information about the distribution of options.,1,{decision: allow; subject: he; action: read; resource: information about the distribution of options; purpose: none; condition: none | decision: allow; subject: she; action: read; resource: information about the distribution of options; purpose: none; condition: none}
30,"An employee can appoint another employee to be his advocate, and have read access to his bonus information – for example, this might be useful if he needs help from a trade union.",1,{decision: allow; subject: employee; action: appoint; resource: employee; purpose: be his advocate; condition: none | decision: allow; subject: employee; action: appoint; resource: employee; purpose: have read access to his bonus information; condition: none}
31,"A person may read any record for which he or she is the designated parent or guardian, and for which the patient is under 16 years of age.",1,{decision: allow; subject: person; action: read; resource: any record; purpose: none; condition: person is the designated parent or guardian | decision: allow; subject: person; action: read; resource: any record; purpose: none; condition: the patient is under 16 years of age}
32,A subject cannot belong to more than one role.,0,{decision: allow; subject: subject; action: belong; resource: more than one role; condition: none; purpose: none | decision: allow; subject: subject; action: belong; resource: more role; condition: none; purpose: none}
33,The sole counter-example shows that a student with the freedom to assign external grades is also a ta but not a faculty member.,1,{decision: allow; subject: ta; action: assign; resource: external grades; purpose: none; condition: none}
34,Authors of papers cannot be changed.,1,{decision: deny; subject: none; action: change; resource: authors of papers; purpose: none; condition: none}
35,"During the meeting phase, reviewer can read the scores for paper if reviewer has submitted a review for paper.",1,{decision: allow; subject: reviewer; action: read; resource: scores for paper; purpose: none; condition: reviewer has submitted a review for paper}
36,The PC chair appoints the PC members.,1,{decision: allow; subject: pc chair; action: appoint; resource: pc members; purpose: none; condition: none}
37,"In the current paper-based system, this is prevented by requiring that any new entry be signed by the doctor making that entry.",0,{decision: allow; subject: none; action: sign; resource: new entry; condition: none; purpose: none}
38,"For a special purpose, access to an older medical record can be sought and obtained from the manager.",1,{decision: allow; subject: none; action: access; resource: older medical record; purpose: special purpose; condition: none}
39,A user should already grant diagnosing right to create medicine orders.,1,{decision: allow; subject: user; action: grant; resource: diagnosing right; purpose: none; condition: none}
40,In our case study this means that the residents themselves must also be regarded as principals for whom we define access rights.,0,{decision: allow; subject: none; action: regard; resource: residents; condition: none; purpose: none}
41,Owners cannot change any data but can read it all.,1,{decision: allow; subject: owners; action: read; resource: any data; purpose: none; condition: none | decision: deny; subject: owners; action: change; resource: any data; purpose: none; condition: none}
42,Any subject with an e-mail name in the med.example.com domain can perform any action on any resource.,1,{decision: allow; subject: subject with an e-mail name in the med.example.com domain; action: perform; resource: any action; purpose: none; condition: none}
43,David can assign the manager role to Alice.,1,{decision: allow; subject: david; action: assign; resource: manager role; purpose: none; condition: none}
44,"If a subject is not a pc-chair or admin, then he or she may not set the meeting flag.",1,{decision: deny; subject: subject; action: set; resource: meeting flag; purpose: none; condition: subject is not a pc-chair or admin}
45,"If the subject is not a faculty member, then permit that subject to enroll in courses.",1,{decision: allow; subject: subject; action: enroll; resource: courses; purpose: none; condition: subject is not a faculty member}
46,"Special add-on or plug-in software required to apply to an HTTP client to prevent indiscriminant copying by users (""cutting and pasting"" of information)",0,"{decision: allow; subject: none; action: apply; resource: special add-on or plug-in software required to apply to an http client; condition: none; purpose: to prevent indiscriminant copying by users ( "" cutting and pasting "" of information}"
47,This critical task should not be performed by a single user.,1,{decision: deny; subject: single user; action: perform; resource: critical task; purpose: none; condition: none}
48,The care plan is updated in consultation with the resident or the responsible person.,1,{decision: allow; subject: none; action: update; resource: care plan; purpose: none; condition: none}
49,"Only administrators, not data owners, make changes to a resource's security label.",1,{decision: allow; subject: administrators; action: make; resource: changes; purpose: none; condition: none | decision: deny; subject: data owners; action: make; resource: changes; purpose: none; condition: none}
50,"Users who do not have access to information should not be able to determine its characteristics (file size, file name, directory path, etc.)",1,{decision: allow; subject: users; action: determine; resource: characteristics; purpose: none; condition: users do not have access to information}
51,"If the subject is a faculty member, then permit that subject to assign grades.",1,{decision: allow; subject: subject; action: assign; resource: grades; purpose: none; condition: subject is a faculty member}
52,The health care workers are required to sign a confidentiality agreement before they have access to any resident data.,1,{decision: allow; subject: health care workers; action: sign; resource: confidentiality agreement; purpose: none; condition: none}
53,Data Owners can transfer ownership of information to other users.,1,{decision: allow; subject: data owners; action: transfer; resource: ownership of information; purpose: none; condition: none}
54,Only Doctors and Nurses can read patient records.,1,{decision: allow; subject: doctors; action: read; resource: patient records; purpose: none; condition: none | decision: allow; subject: nurses; action: read; resource: patient records; purpose: none; condition: none}
55,Planners can access the sites financial planning and tax preparation functions,1,{decision: allow; subject: planners; action: access; resource: sites financial planning; purpose: none; condition: none | decision: allow; subject: planners; action: access; resource: tax preparation functions; purpose: none; condition: none}
56,"Clearly, the manager does not wish to be informed about every access but some logging is still necessary.",0,{decision: allow; subject: manager; action: wish; resource: none; condition: clearly; purpose: none}
57,There do not exist members of STUDENT who can ASSIGN EXTERNALGRADES.,1,{decision: deny; subject: student; action: assign; resource: externalgrades; purpose: none; condition: none}
58,Doctors need not sign a confidentiality agreement since they are bound by a code of professional conduct.,1,{decision: deny; subject: doctors; action: sign; resource: confidentiality agreement; condition: none; purpose: none}
59,The principals involved in an information system are usually thought of as staff members of a certain organisation.,0,{decision: allow; subject: none; action: think; resource: principals; condition: none; purpose: none}
60,"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.",1,{decision: deny; subject: reviewer; action: resign; resource: none; purpose: none; condition: he has already appointed a sub-reviewer for the paper}
61,Administrators can access only the administrative pages,1,{decision: allow; subject: administrators; action: access; resource: administrative pages; purpose: none; condition: none}
62,No user should perform more than one use case on each object.,0,{decision: allow; subject: user; action: perform; resource: one use case; condition: none; purpose: none}
63,Billing Reps can use credit card numbers for order processing.,1,{decision: allow; subject: billing reps; action: use; resource: credit card numbers; purpose: order processing; condition: none}
64,"TA can view and assign InternalGrades but not ExternalGrades (since faculty must take final responsibility for all external grades), combined with Pol3.",1,{decision: allow; subject: ta; action: view; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: ta; action: assign; resource: internalgrades; purpose: none; condition: none | decision: deny; subject: ta; action: view; resource: externalgrades; purpose: none; condition: none | decision: deny; subject: ta; action: assign; resource: externalgrades; purpose: none; condition: none}
65,Guests can access all the public areas of the site,1,{decision: allow; subject: guests; action: access; resource: all the public areas of the site; purpose: none; condition: none}
66,This period is seven years for someone who is not of Aboriginal or Torres Strait Islander descent and nine years for someone who is.,0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
67,"A sub-reviewer can resign, unless he has already submitted his review.",1,{decision: allow; subject: sub-reviewer; action: resign; resource: none; purpose: none; condition: he has not submitted his review}
68,"If someone is not a pc-chair or admin, then he or she can never see paper-review-rc for which he or she is conflicted.",1,{decision: deny; subject: person; action: see; resource: paper-review-rc; purpose: none; condition: person is not a pc-chair or admin}
69,"Requests for students to Receive ExternalGrades, and for faculty to Assign and View both InternalGrades and ExternalGrades, will succeed.",1,{decision: allow; subject: student; action: receive; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: assign; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: view; resource: externalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: assign; resource: internalgrades; purpose: none; condition: none | decision: allow; subject: faculty; action: view; resource: internalgrades; purpose: none; condition: none}
70,Admission nurses use SSN for reviewing eligibility if requested by a patient who is returning.,1,{decision: allow; subject: admission nurses; action: use; resource: ssn; purpose: reviewing eligibility; condition: requested by a patient who is returning}
71,"During the review phase, reviewer may submit a review for paper if reviewer is assigned to review paper.",1,{decision: allow; subject: reviewer; action: submit; resource: review; purpose: none; condition: reviewer is assigned to review paper}
72,"In addition, the role hierarchy implicitly authorizes a specialized role to inherit permissions.",0,{decision: allow; subject: none; action: author; resource: special role; condition: none; purpose: none}
73,Every subject in the hierarchy except the business office manager can submit a project.,1,{decision: allow; subject: every subject in the hierarchy; action: submit; resource: project; purpose: none; condition: none | decision: deny; subject: business office manager; action: submit; resource: project; purpose: none; condition: none}
74,"If the invoice’s total amount exceeds one million, then two different supervisors must authorize the invoice.",1,{decision: allow; subject: two different supervisors; action: authorize; resource: invoice; purpose: none; condition: invoice’s total amount exceeds one million}
75,Only the manager is allowed to add a new resident to the system and to start or update the care plan of a resident.,1,{decision: allow; subject: manager; action: add; resource: new resident; purpose: none; condition: none | decision: allow; subject: manager; action: start; resource: care plan of a resident; purpose: none; condition: none | decision: allow; subject: manager; action: update; resource: care plan of a resident; purpose: none; condition: none}
76,Pharmacy System may get reports and status information of the medicine dispenser.,1,{decision: allow; subject: pharmacy system; action: get; resource: reports; purpose: none; condition: none | decision: allow; subject: pharmacy system; action: get; resource: status information of the medicine dispenser; purpose: none; condition: none}
77,"Privacy laws require, however, that a person should have full access to any information stored about them (unless the well-being of a third party would be jeopardised by revealing the information).",1,{decision: allow; subject: person; action: access; resource: any information stored about them; purpose: none; condition: well being of a third party would not be jeopardised}
78,"A physician may write to any medical element for which he or she is the designated primary care physician, provided an email is sent to the patient.",1,{decision: allow; subject: physician; action: write; resource: any medical element; purpose: none; condition: email is sent to the patient}
79,All members of role Faculty Family can receive External-Grades.,1,{decision: allow; subject: members of role faculty family; action: receive; resource: external-grades; purpose: none; condition: none}
80,"Employees ranked as professors or tenured assistant professors can select from, insert into, and delete from graduate admission related tables in the database.",1,{decision: allow; subject: professors; action: select; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: professors; action: insert; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: professors; action: delete; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: tenured assistant professors; action: select; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: tenured assistant professors; action: insert; resource: graduate admission related tables; purpose: none; condition: none | decision: allow; subject: tenured assistant professors; action: delete; resource: graduate admission related tables; purpose: none; condition: none}
81,Access is authorized or restricted to objects based on the time of day depending on the labeling on the resource and the user's credentials (driven by policy).,0,"{decision: allow; subject: access; action: authorize; resource: access; condition: ""depending on the labeling on the resource and the user s credentials ( driven by policy )""; purpose: none}"
