,input,acp,output
0,"To support reviewers with making choices, CyberChair provides them with several webpages containing overviews of  the submitted abstracts.",1,{decision: allow; subject: cyberchair; action: provide; resource: several webpages containing overviews of the submitted abstracts; purpose: support reviewers with making choices; condition: none}
1,CyberChair generates a paper distribution proposal for the PCC.,1,{decision: allow; subject: cyberchair; action: generate; resource: paper distribution proposal; purpose: none; condition: none}
2,"As soon as the full paper deadline has passed, the papers can be assigned to the reviewers.",1,{decision: allow; subject: none; action: assign; resource: papers; purpose: none; condition: none}
3,"In step 2, the full paper must be submitted by uploading it.",1,{decision: allow; subject: none; action: upload; resource: full paper; purpose: none; condition: none}
4,"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",1,{decision: allow; subject: you; action: watch; resource: progress of the submission; condition: none; purpose: none | decision: allow; subject: you; action: watch; resource: review process; condition: none; purpose: none}
5,"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",1,{decision: allow; subject: none; action: submit; resource: abstract; purpose: process to work smoothly; condition: none}
6,"Usually, people are allowed to send their submission by email.",1,{decision: allow; subject: people; action: send; resource: submission; condition: none; purpose: none}
7,"Further, overviews are available that contain, per conference topic, all abstracts, and an overview that contains all abstracts.",1,{decision: allow; subject: none; action: available; resource: overviews; purpose: none; condition: none}
8,"Reviewers can indicate whether they are an expert on the topic (X), no expert, but knowledgable in the subject area (Y), or an informed outsider (Z).",1,{decision: allow; subject: reviewers; action: indicate; resource: whether they are an expert on the topic (x); purpose: none; condition: none | decision: allow; subject: reviewers; action: indicate; resource: whether they are an expert in the subject area (y); purpose: none; condition: none | decision: allow; subject: reviewers; action: indicate; resource: whether they are an informed outsider (z); purpose: none; condition: none}
9,Downloading of papers by the reviewers can start as soon as papers are submitted.,1,{decision: allow; subject: reviewers; action: download; resource: papers; purpose: none; condition: none}
10,CyberChair points out conflicting reviews and offers the reviewers means to easily communicate to solve these conflicts.,1,{decision: allow; subject: cyberchair; action: point; resource: conflicting reviews; purpose: none; condition: none | decision: allow; subject: cyberchair; action: offer; resource: means to easily communicate; purpose: solve these conflicts; condition: none}
11,"The current implementation collects the preferences (bids), expertise levels and willingness to review papers on certain topics and the conflicts of interest of the reviewers.",1,{decision: allow; subject: current implementation; action: collect; resource: preferences; purpose: none; condition: none | decision: allow; subject: current implementation; action: collect; resource: expertise levels; purpose: none; condition: none | decision: allow; subject: current implementation; action: collect; resource: willingness to review papers on certain topics; purpose: none; condition: none | decision: allow; subject: current implementation; action: collect; resource: conflicts of interest of the reviewers; purpose: none; condition: none}
12,"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",1,{decision: allow; subject: authors; action: fill in; resource: webform; purpose: none; condition: none}
13,"In case there are less than 4 reviewers, this process is repeated with the list of reviewers who indicated a low preference for the paper.",1,{decision: allow; subject: none; action: repeat; resource: process; purpose: none; condition: there are less than 4 reviewers}
