,inputs,policies,labels
0,"This includes adding, modifying, and deleting professors from the system.",{decision: deny; subject: none; action: delete; resource: professors; condition: none; purpose: none | decision: allow; subject: none; action: add; resource: professors; condition: none; purpose: none | decision: allow; subject: none; action: modify; resource: professors; condition: none; purpose: none},0
1,The message displays the risk factors that the patients exhibit.,{decision: allow; subject: message; action: calculate; resource: risk factors that the patients exhibit; condition: none; purpose: none},2
2,This crucial task should not be performed by a single user.,{decision: deny; subject: day care workers; action: perform; resource: crucial task; condition: none; purpose: none},1
3,An LHCP wishes to reply to a message.,{decision: allow; subject: lhcp; action: reply; resource: message; condition: none; purpose: none},11
4,"The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions.",{decision: allow; subject: hcp; action: provide; resource: dosage in milligrams; condition: none; purpose: none | decision: allow; subject: hcp; action: provide; resource: end date; condition: none; purpose: none | decision: allow; subject: hcp; action: provide; resource: start date; condition: none; purpose: none | decision: allow; subject: hcp; action: provide; resource: none; condition: none; purpose: none},7
5,The hcp does not have the ability to edit either child's medical question and password.,{decision: deny; subject: hcp; action: edit; resource: childs medical question; condition: none; purpose: none | decision: deny; subject: hcp; action: edit; resource: childs password; condition: none; purpose: gain more information about the report},5
6,Authors will never read them if the quality is low.,{decision: deny; subject: health care personal; action: read; resource: authors; condition: quality is low; purpose: none},1
7,To prevent unauthorized access all users must change their passwords every 90 days.,{decision: allow; subject: none; action: change; resource: passwords; condition: prevent unauthorized access; purpose: none},6
8,The LHCP clicks the reply link above the message text.,{decision: allow; subject: lhcp; action: click; resource: reply link above the message text; condition: none; purpose: none},11
9,System presents the actual operational profile of the operations of the iTrust.,{decision: allow; subject: patients; action: present; resource: actual operational profile of the operations of the itrust; condition: none; purpose: none},1
10,The patient can undesignate any LHCP as being a DLHCP for them.,{decision: deny; subject: patient; action: undesignate; resource: lhcp; condition: none; purpose: none},0
11,Users can view an owner's content but not make changes to protect its integrity if an audit happens,{decision: deny; subject: users; action: make; resource: changes; condition: audit happens; purpose: protect its integrity},10
12,"A prescription list is then displayed , sorted by start date (the later date is ranked earlier).",{decision: deny; subject: none; action: sort; resource: prescription list; condition: none; purpose: none | decision: allow; subject: none; action: display; resource: prescription list; condition: none; purpose: none},0
13,"Reviewer - Use the first and last name (in lowercase) as login and password, respectively.",{decision: allow; subject: reviewer; action: use; resource: last name; condition: none; purpose: none | decision: allow; subject: none; action: use; resource: first name; condition: respectively; purpose: none},6
14,"A patient either chooses to input his or her physiologic measurements (blood pressure possibly and possibly glucose levels) , or to input his or her weight, height, possibly and possibly pedometer readings .",{decision: allow; subject: patient; action: input; resource: physiologic measurements; condition: none; purpose: none | decision: allow; subject: patient; action: input; resource: pedometer readings; condition: none; purpose: none | decision: allow; subject: patient; action: input; resource: height; condition: none; purpose: none},10
