,input,acp,output
0,"The system retrieves and displays the Student’s current schedule (e.g., the schedule for the current semester).",1,{decision: allow; subject: system; action: retrieve; resource: student’s current schedule; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: student’s current schedule; purpose: none; condition: none}
1,The system cancels the course offering for each schedule that contains it.,1,{decision: allow; subject: system; action: cancel; resource: course offerings; purpose: none; condition: none}
2,"The system requests that the Registrar specify the function he or she would like to perform (either Add a Student, Update a Student, or Delete a Student)",1,{decision: allow; subject: registrar; action: add; resource: student; purpose: none; condition: none | decision: allow; subject: registrar; action: update; resource: student; purpose: none; condition: none | decision: allow; subject: registrar; action: delete; resource: student; purpose: none; condition: none}
3,"The Professor can either resolve the schedule conflict (i.e., by canceling his selection to teach one of the course offerings), or cancel the operation, in which case, any selections will be lost, and the use case ends.",1,{decision: allow; subject: professor; action: resolve; resource: schedule conflict; purpose: none; condition: none | decision: allow; subject: professor; action: cancel; resource: operation; purpose: none; condition: none}
4,They will also need to see which students signed up for their course offerings.,1,{decision: allow; subject: they; action: see; resource: students signed up for their course offerings; purpose: none; condition: none}
5,"If no alternates are available, then no substitution will be made.",1,{decision: allow; subject: none; action: make; resource: substitution; purpose: none; condition: no alternates are available}
6,The Student also selects any course offerings to delete from the existing schedule.,1,{decision: allow; subject: student; action: delete; resource: course offerings; purpose: none; condition: none}
7,"If a course offering becomes full while a student is building a schedule including that offering, the student must be notified.",1,{decision: allow; subject: none; action: notify; resource: student; purpose: none; condition: course offering becomes full while a student is building a schedule including that offering}
8,Only Professors can enter grades for students.,1,{decision: allow; subject: professors; action: enter; resource: grades; purpose: none; condition: none}
9,The professor selects possibly and possibly de-selects the course offerings that he or she wishes to teach for the upcoming semester.,1,{decision: allow; subject: professor; action: select; resource: course offerings that professor to teach for the upcoming semester; purpose: none; condition: none | decision: allow; subject: professor; action: de-select; resource: course offerings that professor to teach for the upcoming semester; purpose: none; condition: none}
10,The professor is added to the system.,1,{decision: allow; subject: none; action: add; resource: professor; purpose: none; condition: none}
11,The Student selects 4 primary course offerings and 2 alternate course offerings from the list of available offerings.,1,{decision: allow; subject: student; action: select; resource: 4 primary course offerings; purpose: none; condition: none | decision: allow; subject: student; action: select; resource: 2 alternate course offerings; purpose: none; condition: none}
12,This use case allows the Registrar to maintain student information in the registration system.,1,{decision: allow; subject: registrar; action: maintain; resource: student information in the registration system; purpose: none; condition: none}
13,The Student verifies the deletion.,1,{decision: allow; subject: student; action: verify; resource: the deletion; purpose: none; condition: none}
14,"If, in the Update a Professor  or Delete a Professor sub-flows, a professor with the specified id number does not exist, the system displays an error message.",1,{decision: allow; subject: system; action: display; resource: error message; purpose: none; condition: professor with the specified id number does not exist in the update a professor  or delete a professor sub-flows}
15,Professors will be able to access the system to sign up to teach courses as well as record grades.,1,{decision: allow; subject: professors; action: access; resource: system; purpose: sign up to teach courses; condition: none | decision: allow; subject: professors; action: access; resource: system; purpose: record grades; condition: none}
16,"If, in the Update a Student  or Delete a Student  sub-flows, a student with the specified id number does not exist, the system displays an error message.",1,{decision: allow; subject: system; action: display; resource: error message; purpose: none; condition: in the update a student  or delete a student  sub-flows_ a student with the specified id number does not exist}
17,"If, in the Delete A Professor sub-flow, the Registrar decides not to delete the professor, the delete is cancelled, and the Basic Flow is re-started at the beginning.",1,{decision: allow; subject: none; action: re-start; resource: basic flow; purpose: none; condition: in the delete a professor sub-flow_ the registrar decides not to delete the professor_ the delete is cancelled}
18,"For each selected course offering on the schedule not already marked as “enrolled in”, the system verifies that the Student has the necessary prerequisites, that the course offering is open, and that there are no schedule conflicts.",1,{decision: allow; subject: system; action: verify; resource: necessary prerequisites; purpose: none; condition: none | decision: allow; subject: system; action: verify; resource: course offerings; purpose: none; condition: none | decision: allow; subject: system; action: verify; resource: schedule conflicts; purpose: none; condition: none}
19,"If, in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule, an error message is displayed.",1,{decision: allow; subject: none; action: display; resource: error message; purpose: none; condition: in the update a schedule or delete a schedule sub-flows_ the system is unable to retrieve the student’s schedule}
20,The system requests that the Registrar enter the professor id,1,{decision: allow; subject: registrar; action: enter; resource: professor id; purpose: none; condition: none}
21,"At the end of the semester, the student will be able to access the system to view an electronic report card.",1,{decision: allow; subject: student; action: access; resource: system; purpose: view an electronic report card; condition: none}
22,The system requests that the Registrar enter the student id.,1,{decision: allow; subject: registrar; action: enter; resource: student id; purpose: none; condition: none}
23,"For each student on the list, the Professor enters a grade: A, B, C, D, F, or I.  The system records the student’s grade for the course offering.",1,{decision: allow; subject: professor; action: enter; resource: grade; purpose: none; condition: none}
24,The system deletes the student from the system.,1,{decision: allow; subject: system; action: delete; resource: student; purpose: none; condition: none}
25,"In addition, each student will indicate two alternative choices in case the student cannot be assigned to a primary selection.",1,{decision: allow; subject: student; action: indicate; resource: two alternative choices; purpose: none; condition: student cannot be assigned to a primary selection}
26,The system displays a list of course offerings the Professor taught in the previous semester.,1,{decision: allow; subject: system; action: display; resource: list of course offerings the professor taught in the previous semester; purpose: none; condition: none}
27,"The Registrar can then enter a different id number or cancel the operation, at which point the use case ends.",1,{decision: allow; subject: registrar; action: enter; resource: different id number; purpose: none; condition: none | decision: allow; subject: registrar; action: cancel; resource: operation; purpose: none; condition: none}
28,"If there is no conflict, the system updates the course offering information for each offering the professor selects (i.e., records the professor as the instructor for the course offering).",1,{decision: allow; subject: system; action: update; resource: course offering information; purpose: none; condition: there is no conflict}
29,"If the Registrar selected “Update a Student”, the Update a Student  subflow is executed.",1,{decision: allow; subject: none; action: execute; resource: update a student  subflow; purpose: none; condition: registrar selected “update a student”}
30,"If the Registrar selected “Add a Student”, the Add a Student  subflow is executed.",1,{decision: allow; subject: none; action: execute; resource: add a student subflow; purpose: none; condition: registrar selected “add a student”}
31,"The Student can either select a different course offering and the use case continues, save the schedule, as is (see Save a Schedule subflow), or cancel the operation, at which point the Basic Flow is re-started at the beginning.",1,{decision: allow; subject: student; action: select; resource: different course offering; purpose: none; condition: none | decision: allow; subject: student; action: save; resource: schedule; purpose: none; condition: none | decision: allow; subject: student; action: cancel; resource: operation; purpose: none; condition: none}
32,"If, in the Basic Flow, the professor is not eligible to teach any course offerings in the upcoming semester, the system will display an error message.",1,{decision: allow; subject: system; action: display; resource: error message; purpose: none; condition: in the basic flow_ the professor is not eligible to teach any course offerings in the upcoming semester}
33,The system requests that the Registrar enter the professor information.,1,{decision: allow; subject: registrar; action: enter; resource: professor information; purpose: none; condition: none}
34,This use case allows a Professor to submit student grades for one or more classes completed in the previous semester.,1,{decision: allow; subject: professor; action: submit; resource: student grades; purpose: none; condition: none}
35,"If the Professor wishes to skip a particular student, the grade information can be left blank and filled in at a later time.",1,{decision: allow; subject: professor; action: leave; resource: grade information; purpose: none; condition: professor wishes to skip a particular student | decision: allow; subject: professor; action: fill in; resource: grade information; purpose: none; condition: professor wishes to skip a particular student}
36,"Once the registration process is completed for a student, the registration system sends information to the billing system so the student can be billed for the semester.",1,{decision: allow; subject: registration system; action: send; resource: information; purpose: student can be billed for the semester; condition: registration process is completed for a student}
37,The Professor selects a course offering.,1,{decision: allow; subject: professor; action: select; resource: course offering; purpose: none; condition: none}
38,The schedule is saved in the system.,1,{decision: allow; subject: none; action: save; resource: schedule; purpose: none; condition: none}
39,The system also retrieves and displays the list of courses the professor has previously selected to teach.,1,{decision: allow; subject: system; action: retrieve; resource: list of courses the professor has previously selected to teach; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: list of courses the professor has previously selected to teach; purpose: none; condition: none}
40,"If, in the Submit Schedule sub-flow, the system determines that the Student has not satisfied the necessary prerequisites, or that the selected course offering is full, or that there are schedule conflicts, an error message is displayed.",1,{decision: allow; subject: none; action: display; resource: error message; purpose: none; condition: in the submit schedule sub-flow_ the system determines that the student has not satisfied the necessary prerequisites_ or that the selected course offering is full_ or that there are schedule conflicts}
41,The system retrieves and displays the student information.,1,{decision: allow; subject: system; action: retrieve; resource: student information; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: student information; purpose: none; condition: none}
42,"If, in the Delete A Student  sub-flow, the Registrar decides not to delete the student, the delete is cancelled and the Basic Flow is re-started at the beginning.",1,{decision: allow; subject: none; action: re-start; resource: basic flow; purpose: none; condition: in the delete a student  sub-flow_ the registrar decides not to delete the student | decision: allow; subject: none; action: cancel; resource: the delete; purpose: none; condition: in the delete a student  sub-flow_ the registrar decides not to delete the student}
43,The system displays each student and any grade that was previously assigned for the offering.,1,{decision: allow; subject: system; action: display; resource: student; purpose: none; condition: none | decision: allow; subject: system; action: display; resource: grade; purpose: none; condition: none}
44,"If the Registrar selected “Delete a Professor”, the Delete a Professor subflow is executed.",1,{decision: allow; subject: none; action: execute; resource: delete a professor subflow; purpose: none; condition: registrar selected “delete a professor”}
45,"If the use case was successful, student grades for a course offering are updated.",1,{decision: allow; subject: none; action: update; resource: student grades; purpose: none; condition: use case was successful}
46,The system removes the professor from teaching the de-selected course offerings.,1,{decision: allow; subject: system; action: remove; resource: professor; purpose: none; condition: none}
47,The system prompts the Registrar to confirm the deletion of the professor.,1,{decision: allow; subject: registrar; action: confirm; resource: deletion of the professor; purpose: none; condition: none}
48,"If the Student selected “update a schedule”, the Update a Schedule subflow is executed.",1,{decision: allow; subject: none; action: execute; resource: update a schedule subflow; purpose: none; condition: student selected “update a schedule”}
49,"If the use case was successful, the student schedule is created, updated, or deleted.",1,{decision: allow; subject: none; action: create; resource: student schedule; purpose: none; condition: use case was successful | decision: allow; subject: none; action: update; resource: student schedule; purpose: none; condition: use case was successful | decision: allow; subject: none; action: delete; resource: student schedule; purpose: none; condition: use case was successful}
50,The system provides the Registrar with the new professor id.,1,{decision: allow; subject: system; action: provide; resource: new professor id; purpose: none; condition: none}
51,The system provides the Registrar with the new student id.,1,{decision: allow; subject: system; action: provide; resource: new student id; purpose: none; condition: none}
52,The Professor may also change the grade for a student by entering a new grade.,1,{decision: allow; subject: professor; action: change; resource: grade; purpose: none; condition: none}
53,The Student may update the course selections on the current selection by deleting and adding new course offerings.,1,{decision: allow; subject: student; action: update; resource: course selections; purpose: none; condition: none}
54,This use case allows a Student to register for course offerings in the current semester.,1,{decision: allow; subject: student; action: register; resource: course offerings in the current semester; purpose: none; condition: none}
55,"Once the Registrar updates the necessary information, the system updates the student information.",1,{decision: allow; subject: system; action: update; resource: student information; purpose: none; condition: registrar updates the necessary information}
56,Only the Registrar is allowed to change any student information.,1,{decision: allow; subject: registrar; action: change; resource: any student information; purpose: none; condition: none}
57,The Registrar verifies the deletion.,1,{decision: allow; subject: registrar; action: verify; resource: deletion; purpose: none; condition: none}
