,input,acp,output
0,The role of a user determines their viewing and editing capabilities (role-based access control).,0,{decision: allow; subject: user; action: view; resource: role of a user; condition: none; purpose: none}
1,The drug desired to be prescribed is checked against the patient's drug allergies.,1,{decision: allow; subject: none; action: check; resource: drug desired to be prescribed; purpose: none; condition: none}
2,"The HCP selects a procedure code, a priority from 1 to 3 (1=most important, 3=not as important), and Lab Technician (listed with his or her specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).",1,{decision: allow; subject: hcp; action: select; resource: procedure code; purpose: none; condition: none | decision: allow; subject: hcp; action: select; resource: priority; purpose: none; condition: none | decision: allow; subject: hcp; action: select; resource: lab technician; purpose: none; condition: none}
3,Lab Technician (LT): A clinical worker that runs diagnostic tests on samples gathered from patients during office visits.,0,{decision: allow; subject: clinical worker; action: run; resource: diagnostic tests on samples; condition: none; purpose: none}
4,"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",1,{decision: allow; subject: hcp; action: input; resource: correct patient identification information; purpose: none; condition: confirmation screen does not show the name of the intended patient}
5,"Health Care Personnel (HCP): All of designated licensed health care professionals, licensed health care professionals, and unlicensed authorized personnel, as defined below.",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
6,"An alive patient over 50 years old who has not had a flu shot (CPT codes 90656, 90658, 90660) during the months Sept - Dec of the last calendar year (or during the months Sept - Dec of the current calendar year if the retrieval time is between Sept - Dec).",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
7,The user can select an office visit from the calendar to read the visit's details .,1,"{decision: allow; subject: user; action: select; resource: office visit; purpose: ""read the visits details""; condition: none}"
8,The public health agent may also choose to remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus) .,1,{decision: allow; subject: public health agent; action: remove; resource: adverse event report; purpose: none; condition: none}
9,"The fields of the  file must include at least the first name, last name, and e-mail address, with additional columns available for the other demographic values.",0,{decision: allow; subject: none; action: include; resource: fields of the file; condition: none; purpose: none}
10,A LHCP creates an  UAP.,1,{decision: allow; subject: lhcp; action: create; resource: uap; purpose: none; condition: none}
11,"After the user modifies the criteria, the user chooses to click the ""Cancel"" button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter), to click the ""Test Search"" button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria), or to click the ""Save"" button to save the modified filter.",1,{decision: allow; subject: user; action: modify; resource: criteria; purpose: none; condition: none | decision: allow; subject: user; action: click; resource: “cancel” button; purpose: cancel the modifications of the filter; condition: none | decision: allow; subject: user; action: click; resource: “test search” button; purpose: search; condition: none | decision: allow; subject: user; action: click; resource: “save” button; purpose: save the modified filter; condition: none}
12,This project involves the development of an application through which doctors can obtain and share essential patient information and can view aggregate patient data.,1,{decision: allow; subject: doctors; action: obtain; resource: essential patient information; purpose: none; condition: none | decision: allow; subject: doctors; action: share; resource: essential patient information; purpose: none; condition: none | decision: allow; subject: doctors; action: view; resource: aggregate patient data; purpose: none; condition: none}
13,"All events are logged (UC5, S8).",0,{decision: allow; subject: none; action: log; resource: events; condition: none; purpose: none}
14,The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).,1,{decision: allow; subject: patient; action: authenticate; resource: patient; condition: none; purpose: none}
15,The LHCP does not confirm the selection and can try again.,1,{decision: allow; subject: lhcp; action: try; resource: again; condition: none; purpose: none | decision: deny; subject: lhcp; action: confirm; resource: selection; condition: none; purpose: none}
16,The message will display the risk factors that the patients exhibit.,1,{decision: allow; subject: message; action: display; resource: risk factors that the patients exhibit; purpose: none; condition: none}
17,The comment is empty and the text 'No Comment' (without link) is displayed instead of the 'Read Comment' link.,0,"{decision: allow; subject: none; action: display; resource: comment; condition: ""instead of the  read comment  link""; purpose: none}"
18,The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2) .,1,{decision: allow; subject: none; action: edit; resource: data for personnel; purpose: none; condition: none}
19,The sending HCP does not confirm the selection and is prompted to try again.,1,{decision: deny; subject: sending hcp; action: confirm; resource: selection; condition: none; purpose: none}
20,"Similarly if there are more than the currently listed activities, a link of ""Older Activities"" shall be further displayed  and so on.",1,{decision: allow; subject: none; action: display; resource: link of “older activities”; condition: if there are more than the currently listed activities; purpose: none}
21,The medication is checked against the patient's current and future prescriptions.,1,{decision: allow; subject: none; action: check; resource: medication; purpose: none; condition: none}
22,"The final product is a site where health care workers can access important patient information, the non-emergency access can be controlled, and all access would be tracked.",1,{decision: allow; subject: health care workers; action: access; resource: important patient information; purpose: none; condition: none | decision: allow; subject: none; action: control; resource: non-emergency access; purpose: none; condition: none | decision: allow; subject: none; action: track; resource: all access; purpose: none; condition: none}
23,"The patient may choose to view the list sorted by the role of the accessor relative to the patient (personal health representative, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type, most recent access first.",1,{decision: allow; subject: patient; action: view; resource: list; purpose: none; condition: none}
24,The system shall store (1) reason id number for the reason ; and (2) up to 80 alphanumeric characters giving the name of the reason.,1,{decision: allow; subject: system; action: store; resource: reason id number for the reason; purpose: none; condition: none | decision: allow; subject: system; action: store; resource: name of the reason; purpose: none; condition: none}
25,Both patients and LHCPs can view a list of their upcoming appointments .,1,{decision: allow; subject: patients; action: view; resource: list of their upcoming appointments; purpose: none; condition: none | decision: allow; subject: lhcps; action: view; resource: list of their upcoming appointments; purpose: none; condition: none}
26,A patient may view his or her own lab procedure.,1,{decision: allow; subject: patient; action: view; resource: own lab procedure; purpose: none; condition: none}
