,input,acp,output
0,"To support reviewers with making choices, CyberChair provides them with several webpages containing overviews of  the submitted abstracts.",1,{decision: allow; subject: cyberchair; action: provide; resource: several webpages containing overviews of the submitted abstracts; purpose: support reviewers with making choices; condition: none}
1,"If a reviewer wishes, he or she may send reviews by email, and never look at his or her webpage.",0,{decision: allow; subject: reviewer; action: look; resource: webpage; condition: if a reviewer wishes; purpose: none | decision: allow; subject: reviewer; action: send; resource: reviews; condition: if a reviewer wishes; purpose: none}
2,The size of this pool is influenced by the maximum number of papers that is assigned to reviewers based on their preferences.,0,{decision: allow; subject: none; action: assign; resource: maximum number of papers; purpose: none; condition: none}
3,"CyberChair significantly reduces the workload of the PC, by doing all necessary bookkeeping.",1,{decision: allow; subject: cyberchair; action: reduce; resource: workload of the pc; condition: none; purpose: none}
4,Other conferences and workshops that use(d) CyberChair can be found on an overview.,0,{decision: allow; subject: other conference; action: find; resource: cyberchair; condition: on an overview; purpose: none}
5,A very important issue for the conference organization is that using CyberChair will save them a lot of money on copying papers and mailing the papers to the reviewers (which might open up room to delegate the management of the submission and review process - see below).,0,{decision: allow; subject: cyberchair; action: save; resource: money; condition: none; purpose: none}
6,Figure 7 shows a part of a paper distribution as generated by CyberChair.,0,{decision: allow; subject: cyberchair; action: generate; resource: part of a paper distribution; condition: none; purpose: none}
7,"In step 2, the full paper must be submitted by uploading it.",1,{decision: allow; subject: none; action: upload; resource: full paper; purpose: none; condition: none}
8,"Although CyberChair is not something to sit in (please refer to www.cyberchair.com if you are looking for that), when you are a program chair, you can sit back, relax and watch the progress of the submission and review process.",1,{decision: allow; subject: you; action: watch; resource: progress of the submission; condition: none; purpose: none | decision: allow; subject: you; action: watch; resource: review process; condition: none; purpose: none}
9,"For this process to work smoothly, the abstracts should be submitted at least one week  before the full paper is submitted.",1,{decision: allow; subject: none; action: submit; resource: abstract; purpose: process to work smoothly; condition: none}
10,"The problematic use of groupware applications, as reported in several publications  is not affecting CyberChair.",0,{decision: allow; subject: cyberchair; action: report; resource: groupware applications; condition: none; purpose: none}
11,"Usually, people are allowed to send their submission by email.",1,{decision: allow; subject: people; action: send; resource: submission; condition: none; purpose: none}
12,"When done by hand, the paper assignment usually is a very time consuming job.",0,{decision: allow; subject: none; action: none; resource: paper assignment; condition: none; purpose: none}
13,"Further, overviews are available that contain, per conference topic, all abstracts, and an overview that contains all abstracts.",1,{decision: allow; subject: none; action: available; resource: overviews; purpose: none; condition: none}
14,"The result is a significant decrease of the work-load of the program chair and the ease of submitting author information, papers and reviews instantly in electronic form.",0,{decision: allow; subject: none; action: submit; resource: result; condition: none; purpose: none}
15,"Reviewers can indicate whether they are an expert on the topic (X), no expert, but knowledgable in the subject area (Y), or an informed outsider (Z).",1,{decision: allow; subject: reviewers; action: indicate; resource: whether they are an expert on the topic (x); purpose: none; condition: none | decision: allow; subject: reviewers; action: indicate; resource: whether they are an expert in the subject area (y); purpose: none; condition: none | decision: allow; subject: reviewers; action: indicate; resource: whether they are an informed outsider (z); purpose: none; condition: none}
16,Please put or leave the 'Would you like to receive a copy of your review per e-mail?',0,{decision: allow; subject: none; action: leave; resource: review; condition: none; purpose: none}
17,CyberChair supports PCs by using these patterns in its implementation.,1,{decision: allow; subject: cyberchair; action: support; resource: pcs; condition: none; purpose: none}
18,Members of the PC are also called ’reviewers’,0,{decision: allow; subject: members of the pc; action: call; resource: members of the pc; condition: also; purpose: none}
19,Those parts are explained in this section.,0,{decision: allow; subject: none; action: explain; resource: parts; condition: none; purpose: none}
20,This section explains how the CyberChair handles the administration and supports its users during the complete reviewing process.,0,{decision: allow; subject: cyberchair; action: support; resource: users; condition: none; purpose: none | decision: allow; subject: cyberchair; action: handle; resource: administration; condition: none; purpose: none}
21,Downloading of papers by the reviewers can start as soon as papers are submitted.,1,{decision: allow; subject: reviewers; action: download; resource: papers; purpose: none; condition: none}
22,"When email is used for the submission of papers and reviews, the physical distribution of papers, which is still used for many conferences, is no longer needed.",0,{decision: allow; subject: none; action: use; resource: physical distribution of reviews; condition: none; purpose: none | decision: allow; subject: none; action: use; resource: physical distribution of papers; condition: none; purpose: none}
23,There is no need to wait until the submission process has finished.,0,{decision: allow; subject: none; action: wait; resource: submission process; condition: none; purpose: none}
24,CyberChair points out conflicting reviews and offers the reviewers means to easily communicate to solve these conflicts.,1,{decision: allow; subject: cyberchair; action: point; resource: conflicting reviews; purpose: none; condition: none | decision: allow; subject: cyberchair; action: offer; resource: means to easily communicate; purpose: solve these conflicts; condition: none}
25,Just retry a few seconds later if this happens.,0,{decision: allow; subject: none; action: none; resource: none; condition: this happens; purpose: none}
26,"Depending on how busy our webserver is, the copying may not be completed before you click on a link.",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
27,"In the first step, authors must fill in a webform shown by figures 1 and 2, on which they state their names and contact information, the title of their paper, an abstract of the paper, and indicate which conference topics their paper covers.",1,{decision: allow; subject: authors; action: fill in; resource: webform; purpose: none; condition: none}
28,"The following administrative tasks can be identified during a typical review process: Author information, abstract and paper submission, paper-to-reviewer assignment, paper distribution, filling in and sending review forms, collecting review forms and ordering them, preparing the PC meeting, returning the reviewers’ comments to the authors, camera-ready paper submission and preparation of proceedings.",0,{decision: allow; subject: none; action: identify; resource: administrative tasks; condition: none; purpose: none}
29,"The level of agreement among reviewers is indicated on each reviewer's personal page, using a coloring scheme.",1,{decision: allow; subject: none; action: indicate; resource: level of agreement among reviewers; purpose: none; condition: none}
30,"After the meeting, the reviewers’ comments are sent back to the authors, so that they can improve their paper.",1,{decision: allow; subject: none; action: send; resource: reviewers’ comments; purpose: authors can improve their paper; condition: none}
31,The review process can be monitored by the chair.,1,{decision: allow; subject: chair; action: monitor; resource: review process; purpose: none; condition: none}
32,"If you'd like to use CyberChair, which is free software (GNU General Public License), please fill in a customization form.",0,"{decision: allow; subject: cyberchair; action: fill in; resource: customization form; condition: ""if you d like to use cyberchair ; which is free software ( gnu general public license )""; purpose: none}"
33,His or her personal webpage will then be updated automatically.,1,{decision: allow; subject: none; action: update; resource: his or her personal webpage; purpose: none; condition: none}
34,"There is also support for the preparation of the proceedings (using the format required for Springer Verlag, the publisher of the proceedings of ECOOP).",0,{decision: allow; subject: none; action: none; resource: none; condition: none; purpose: none}
