,inputs,outputs,verifications
0,This page explains how <u>[HotCRP.com](https://hotcrp.com/)</u> uses the data you provide and how you can control uses .,Not an ACP,None
1,The opensource HotCRP software also runs on sites we don’t manage; this policy applies only to sites with domains ending in “.hotcrp.com”.,Not an ACP,None
2,(Updated 20200824),Not an ACP,None
3, What we store and why,Not an ACP,None
4,"The HotCRP.com service handles the submission and review of artifacts, such as scientific and engineering publications.",{decision:  allow; subject: hotcrp.com service; action: handle; resource: submission; condition: none; purpose: none | decision:  allow; subject: hotcrp.com service; action: handle; resource: review; condition: none; purpose: none},correct
5,"In most cases, The HotCRP.com service does not own the data you provide.",{decision:  deny; subject: hotcrp.com; action: own; resource: data you provide; purpose: none; condition: none},correct
6,"Rather, The HotCRP.com service broker the data you provide on behalf of scholarly societies, such as ACM and USENIX; on behalf of conference review boards; and on behalf of other site managers.",{decision:  allow; subject: hotcrp.com service; action: broker; resource: data you provide; condition: none; purpose: on behalf of scholarly societies | decision:  allow; subject: hotcrp.com service; action: broker; resource: data you provide; condition: none; purpose: on behalf of conference review boards | decision:  allow; subject: hotcrp.com service; action: broker; resource: data you provide; condition: none; purpose: on behalf of other site managers},correct
7," The HotCRP.com service store Submission artifacts, including submissions (such as PDFs), metadata (such as titles and author lists), and supplementary information (such as topics and other uploaded files).",Not an ACP,None
8," The HotCRP.com service store Review artifacts, including reviews, discussions, and associated uploaded files.",{decision:  allow; subject: hotcrp.com service; action: store; resource: review artifacts; purpose: none; condition: none},correct
9, The HotCRP.com service store Configuration settings used by site managers to configure a site.,Not an ACP,None
10," The HotCRP.com service store Profile data, such as user names, affiliations, email addresses, topic interests, and review preferences.",{decision:  allow; subject: hotcrp.com service; action: store; resource: profile data; purpose: none; condition: none},correct
11," The HotCRP.com service store Demographic data, such as user gender identity and approximate age.",{decision:  allow; subject: hotcrp.com service; action: store; resource: demographic data; purpose: none; condition: none},correct
12," The HotCRP.com service store Browsing data, such as logs of which sites a computer has accessed.",{decision:  allow; subject: hotcrp.com service store; action: store; resource: browsing data; purpose: none; condition: none},correct
13, Controlling your information,Not an ACP,None
14,"Submission and review artifacts: When you submit artifacts to a HotCRP.com site, you give a HotCRP.com site managers (e.g., the program chairs) permission to store and view artifacts indefinitely.",{decision:  allow; subject: hotcrp.com site managers; action: store; resource: artifacts; purpose: none; condition: none | decision:  allow; subject: hotcrp.com site managers; action: view; resource: artifacts; purpose: none; condition: none},mrules
15,"You give that site’s managers (e.g., the program chairs permission to distribute artifacts at that site’s managers (e.g., the program chairs discretion, for review or other purposes.",{decision:  allow; subject: site’s managers; action: distribute; resource: artifacts; purpose: review; condition: none | decision: allow; subject: site’s managers; action: distribute; resource: artifacts; purpose: other purposes; condition: none},correct
16,"Finally, you give a HotCRP.com site permission to process artifacts and to store artifacts indefinitely.",{decision:  allow; subject: hotcrp.com site; action: process; resource: artifacts; purpose: none; condition: none | decision: allow; subject: hotcrp.com site; action: store; resource: artifacts; purpose: none; condition: none},correct
17,"Site managers control who can access artifacts, and a HotCRP.com site doesn’t share artifacts except as site managers allow.",{decision:  allow; subject: site managers; action: control; resource: who can access artifacts; purpose: none; condition: none | decision: deny; subject: hotcrp.com site; action: share; resource: artifacts; purpose: none; condition: site managers allow},correct
18,"However, a HotCRP.com site may publicize aggregate information that cannot be traced to any site or user, such as total submission counts across all sites.",{decision:  allow; subject: hotcrp.com site; action: publicize; resource: aggregate information; condition: none; purpose: none},correct
19,"If an artifact was submitted in error, you can request an artifact permanent deletion.",{decision:  allow; subject: you; action: request; resource: artifact permanent deletion; purpose: none; condition: artifact was submitted in error},correct
20,"Such requests should be directed to that site’s managers (e.g., the program chairs ).",{decision:  allow; subject: none; action: direct; resource: requests; condition: none; purpose: none},correct
21,Configuration settings are stored by HotCRP.com indefinitely.,{decision:  allow; subject: hotcrp.com; action: store; resource: configuration settings; condition: none; purpose: none},correct
22,"Site managers may request the deletion of a HotCRP.com site, if allowed by Site managers site agreements with HotCRP.com.",{decision:  allow; subject: site managers; action: request; resource: deletion of a hotcrp.com site; purpose: none; condition: site managers site agreements with hotcrp.com},correct
23,"request will delete all associated site data, including submission and review artifacts.",{decision:  allow; subject: request; action: delete; resource: all associated site data; purpose: none; condition: none | decision: allow; subject: request; action: delete; resource: submission and review artifacts; purpose: none; condition: none},correct
24,Profile data is stored in several ways.,Not an ACP,None
25," Every HotCRP.com user has a global profile, which includes name, email, and affiliation, and other information.",{decision:  allow; subject: hotcrp.com user; action: global profile; resource: other information; condition: none; purpose: none | decision:  allow; subject: hotcrp.com user; action: global profile; resource: name; condition: none; purpose: none | decision:  allow; subject: hotcrp.com user; action: global profile; resource: email; condition: none; purpose: none | decision:  allow; subject: hotcrp.com user; action: global profile; resource: affiliation; condition: none; purpose: none},correct
26," Upon submitting an artifact to a HotCRP.com site, a user gains a site profile for a HotCRP.com site .",{decision:  allow; subject: user; action: gain; resource: site profile; purpose: none; condition: none},mcond
27,"a site profile generally contains the same information as a site profile , but a site profile can differ.",Not an ACP,None
28,"(For example, changes to a global user affiliation only affect future site profiles.)",Not an ACP,None
29,Users can update Users profiles at any time.,{decision:  allow; subject: users; action: update; resource: users profiles; purpose: none; condition: none},correct
30,"A site manager can also create a profile for a user, for example by inviting a user to join a conference program committee.",{decision:  allow; subject: site manager; action: create; resource: profile; purpose: none; condition: none},correct
31,Contact us if you want your global profile deleted and your site profiles disabled.,Not an ACP,None
32,"Demographic data is stored in user global profiles, and can only be modified by users users (never by site managers).",{decision:  allow; subject: users; action: modify; resource: demographic data; purpose: none; condition: none | decision: deny; subject: site managers; action: modify; resource: demographic data; purpose: none; condition: none},correct
33,Users control what demographic data is stored and how demographic data is shared using the Profile \> Demographics tab on any HotCRP.com site.,{decision:  allow; subject: users; action: control; resource: demographic data; purpose: none; condition: none | decision: allow; subject: users; action: control; resource: how demographic data is shared; purpose: none; condition: none},mrules
34,Information shared only with scholarly societies is provided directly to scholarly societies and cannot be accessed by site managers.,{decision:  deny; subject: site managers; action: access; resource: information shared only with scholarly societies; purpose: none; condition: none},mrules
35,"Information that is explicitly shared with site managers may also be analyzed by HotCRP.com, but will be published only in aggregate, such as in terms of percentages of active HotCRP.com users.",{decision:  allow; subject: hotcrp.com; action: analyze; resource: information that is explicitly shared with site managers; purpose: none; condition: none | decision: deny; subject: hotcrp.com; action: publish; resource: information that is explicitly shared with site managers; purpose: none; condition: none},correct
36,Browsing data is stored for up to a month and peruser browsing data is never shared.,{decision:  allow; subject: none; action: store; resource: browsing data; condition: none; purpose: none | decision: deny; subject: none; action: share; resource: peruser browsing data; condition: none; purpose: none},correct
37,We may store and share aggregate information such as total page loads.,{decision:  allow; subject: we; action: store; resource: aggregate information; condition: none; purpose: none | decision: allow; subject: we; action: share; resource: aggregate information; condition: none; purpose: none},correct
38,"Misbehavior, such as denialofservice attacks and attempts to crack a user’s password, may be publicized and may be preserved indefinitely.",Not an ACP,None
