,input,acp,output
0,The drug desired to be prescribed is checked against the patient's drug allergies.,1,{decision: allow; subject: none; action: check; resource: drug desired to be prescribed; purpose: none; condition: none}
1,The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,1,{decision: allow; subject: user; action: modify; resource: user’s associated filter; purpose: none; condition: none}
2,"The HCP selects a procedure code, a priority from 1 to 3 (1=most important, 3=not as important), and Lab Technician (listed with his or her specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).",1,{decision: allow; subject: hcp; action: select; resource: procedure code; purpose: none; condition: none | decision: allow; subject: hcp; action: select; resource: priority; purpose: none; condition: none | decision: allow; subject: hcp; action: select; resource: lab technician; purpose: none; condition: none}
3,"If the confirmation screen does not show the name of the intended patient, the HCP is then prompted to input the correct patient identification information again.",1,{decision: allow; subject: hcp; action: input; resource: correct patient identification information; purpose: none; condition: confirmation screen does not show the name of the intended patient}
4,"The HCP confirms the reassignment, or cancels the reassignment .",1,{decision: allow; subject: hcp; action: confirm; resource: reassignment; purpose: none; condition: none | decision: allow; subject: hcp; action: cancel; resource: reassignment; purpose: none; condition: none}
5,The user can select an office visit from the calendar to read the visit's details .,1,"{decision: allow; subject: user; action: select; resource: office visit; purpose: ""read the visits details""; condition: none}"
6,"The patient is sent a ""fake email"" that the HCP has prescribed a medication that he or she is allergic to or that has a known interaction with a drug he or she is taking.",1,{decision: allow; subject: patient; action: send; resource: “fake email”; purpose: none; condition: none}
7,The public health agent may also choose to remove an adverse event report (such as based upon communication with the reporter or because the report appears to be bogus) .,1,{decision: allow; subject: public health agent; action: remove; resource: adverse event report; purpose: none; condition: none}
8,"When an LHCP views a list of his or her upcoming appointments, they are presented with an option to edit or remove the appointment.",1,{decision: allow; subject: lhcp; action: edit; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments | decision: allow; subject: lhcp; action: remove; resource: appointment; purpose: none; condition: lhcp views a list of his or her upcoming appointments}
9,A LHCP creates an  UAP.,1,{decision: allow; subject: lhcp; action: create; resource: uap; purpose: none; condition: none}
10,"After the user modifies the criteria, the user chooses to click the ""Cancel"" button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter), to click the ""Test Search"" button to search (i.e., displaying the message inbox  including only the messages satisfying the specified filtering criteria), or to click the ""Save"" button to save the modified filter.",1,{decision: allow; subject: user; action: modify; resource: criteria; purpose: none; condition: none | decision: allow; subject: user; action: click; resource: “cancel” button; purpose: cancel the modifications of the filter; condition: none | decision: allow; subject: user; action: click; resource: “test search” button; purpose: search; condition: none | decision: allow; subject: user; action: click; resource: “save” button; purpose: save the modified filter; condition: none}
11,An HCP can add commentary to a pending lab procedure .,1,{decision: allow; subject: hcp; action: add; resource: commentary; purpose: none; condition: none}
12,This project involves the development of an application through which doctors can obtain and share essential patient information and can view aggregate patient data.,1,{decision: allow; subject: doctors; action: obtain; resource: essential patient information; purpose: none; condition: none | decision: allow; subject: doctors; action: share; resource: essential patient information; purpose: none; condition: none | decision: allow; subject: doctors; action: view; resource: aggregate patient data; purpose: none; condition: none}
13,The administrator will maintain a listing of allowable diagnoses that an LHCP can use.,1,{decision: allow; subject: administrator; action: maintain; resource: listing of allowable diagnoses; purpose: none; condition: none}
14,The patient has authenticated himself or herself in the iTrust Medical Records system(UC3).,1,{decision: allow; subject: patient; action: authenticate; resource: himself; condition: none; purpose: none}
15,The LHCP does not confirm the selection and can try again.,1,{decision: allow; subject: lhcp; action: try; resource: again; condition: none; purpose: none | decision: deny; subject: lhcp; action: confirm; resource: selection; condition: none; purpose: none}
16,The message will display the risk factors that the patients exhibit.,1,{decision: allow; subject: message; action: display; resource: risk factors that the patients exhibit; purpose: none; condition: none}
17,The data for personnel can be edited according to Data Format 6.2 (all fields mandatory except for associated MID and Street Address 2) .,1,{decision: allow; subject: none; action: edit; resource: data for personnel; purpose: none; condition: none}
18,The sending HCP does not confirm the selection and is prompted to try again.,1,{decision: deny; subject: sending hcp; action: confirm; resource: selection; condition: none; purpose: none}
19,"Similarly if there are more than the currently listed activities, a link of ""Older Activities"" shall be further displayed  and so on.",1,{decision: allow; subject: none; action: display; resource: link of “older activities”; condition: if there are more than the currently listed activities; purpose: none}
20,The medication is checked against the patient's current and future prescriptions.,1,{decision: allow; subject: none; action: check; resource: medication; purpose: none; condition: none}
21,"The final product is a site where health care workers can access important patient information, the non-emergency access can be controlled, and all access would be tracked.",1,{decision: allow; subject: health care workers; action: access; resource: important patient information; purpose: none; condition: none | decision: allow; subject: none; action: control; resource: non-emergency access; purpose: none; condition: none | decision: allow; subject: none; action: track; resource: all access; purpose: none; condition: none}
22,The HCP can choose to graph the height or weight of the patient.,1,{decision: allow; subject: hcp; action: graph; resource: height; purpose: none; condition: none | decision: allow; subject: hcp; action: graph; resource: weight; purpose: none; condition: none}
23,"The patient may choose to view the list sorted by the role of the accessor relative to the patient (personal health representative, LHCP, UAP, Emergency Responder; any order is fine as long as the list is sorted by role) as well as by date for each role type, most recent access first.",1,{decision: allow; subject: patient; action: view; resource: list; purpose: none; condition: none}
24,The system shall store (1) reason id number for the reason ; and (2) up to 80 alphanumeric characters giving the name of the reason.,1,{decision: allow; subject: system; action: store; resource: reason id number for the reason; purpose: none; condition: none | decision: allow; subject: system; action: store; resource: name of the reason; purpose: none; condition: none}
25,Both patients and LHCPs can view a list of their upcoming appointments .,1,{decision: allow; subject: patients; action: view; resource: list of their upcoming appointments; purpose: none; condition: none | decision: allow; subject: lhcps; action: view; resource: list of their upcoming appointments; purpose: none; condition: none}
26,A patient may view his or her own lab procedure.,1,{decision: allow; subject: patient; action: view; resource: own lab procedure; purpose: none; condition: none}
27,The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).,1,{decision: allow; subject: administrator; action: authenticate; resource: himself; condition: none; purpose: none}
28,"The patient may optionally enter a zip code (match on first three numbers of zip code), in addition to the name possibly and possibly specialty.",1,{decision: allow; subject: patient; action: enter; resource: zip code; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: name; purpose: none; condition: none | decision: allow; subject: patient; action: enter; resource: specialty; purpose: none; condition: none}
29,"When answer to the security question is typed in, the answer should not appear on the screen (similar to how a password normally appears) and the answer should be confirmed (by the patient or personal health representative) before it is saved.",1,{decision: allow; subject: patient; action: confirm; resource: answer; purpose: none; condition: answer to the security question is typed in | decision: allow; subject: personal health representative; action: confirm; resource: answer; purpose: none; condition: answer to the security question is typed in}
30,The iTrust user (patient) has been authenticated in the iTrust Medical Records system (UC3).,1,{decision: allow; subject: none; action: authenticate; resource: patient; condition: none; purpose: none}
31,"In the list of in transit lab procedures , the Lab Technician can update the status to received when the sample has been received in his or her lab.",1,{decision: allow; subject: lab technician; action: update; resource: status; purpose: none; condition: none}
32,The LHCP is presented with a list of other appointments that conflict with the new one.,1,{decision: allow; subject: none; action: present; resource: list of other appointments that conflict with the new one; purpose: none; condition: none}
33,"The HCP may sort the list of referrals by patient name, receiving HCP name, time generated, possibly and possibly priority.",1,{decision: allow; subject: hcp; action: sort; resource: list of referrals; purpose: none; condition: none}
34,The patient can also add a LHCP to their provider list by searching for the name possibly and possibly specialty of a LHCP  and then selecting to add the HCP to their list of providers.,1,{decision: allow; subject: patient; action: add; resource: lhcp; purpose: none; condition: none}
35,"The patient or personal health representative can see an abbreviated health history of their siblings, parents, and both sets of grandparents for which MIDs are available in iTrust.",1,{decision: allow; subject: patient; action: see; resource: abbreviated health history of their siblings; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: abbreviated health history of both sets of grandparents; purpose: none; condition: none | decision: allow; subject: patient; action: see; resource: abbreviated health history of their parents; purpose: none; condition: none | decision: allow; subject: personal health representative; action: see; resource: abbreviated health history of their siblings; purpose: none; condition: none | decision: allow; subject: personal health representative; action: see; resource: abbreviated health history of both sets of grandparents; purpose: none; condition: none | decision: allow; subject: personal health representative; action: see; resource: abbreviated health history of their parents; purpose: none; condition: none}
